,comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location,item_stolen,item_category,location_name,latitude,longitude
0,"Unsecured, unattended laptop taken from table in library",Open,Theft,1116 E. 59th St. (S. Harper Ave. Library),5/4/26 3:00 PM to 5:45 PM,,2026-05-04 18:05:00-05:00,5/4/26,Spring,26-00552,"1116 E 59th St, Chicago, Il, 60637",[ 41.78782808 -87.59934635],laptop,Tech,S. Harper Ave. Library,41.78782808,-87.59934635
1,An unknown suspect entered a parked vehicle and took a handgun,Open,Theft,6052 S. Drexel Ave. (Public Way),5/2/26 21:25,,2026-05-03 06:06:00-05:00,5/3/26,Spring,26-00550,"6052 S Drexel Ave, Chicago, Il, 60637",[ 41.784518   -87.60447554],gun,Miscellaneous,Public Way,41.784518,-87.60447554
2,"During a disagreement off-campus, acquaintance took victim's phone and left the scene / Referred to CPD",Referred,Information / Theft,1554 E. 55th St. (Walgreens),5/2/26 23:55,,2026-05-02 23:58:00-05:00,5/2/26,Spring,2026-035931,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],phone,Tech,Walgreens,41.79546163,-87.58928368
3,"Unattended, unsecured tote bag taken from table",Open,Theft,1102 E. 58th St. (Main Quad),5/2/26 17:10,,2026-05-02 17:21:00-05:00,5/2/26,Spring,26-00548,"1102 E 58th St, Chicago, Il, 60637",[ 41.78967746 -87.59714692],bag,Bags,Main Quad,41.78967746,-87.59714692
4,Wallet taken from victim's purse,Open,Theft,5700 S. Maryland Ave. (CCD),4/29/26 to 5/1/26 12:00 PM to 7:00 AM,,2026-05-02 08:37:00-05:00,5/2/26,Spring,26-00546,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],credit card/wallet,"Wallet, Credit cards, Cash",CCD,41.7903992,-87.60501721
5,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officers,Arrest,Theft,1554 E. 55th St. (Walgreens),5/2/26 5:00,,2026-05-02 05:30:00-05:00,5/2/26,Spring,26-00545,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
6,Gift bag taken from cabinet in On- Call Room,Open,Theft,5730 S. Drexel Ave. (Comer Hospital),4/29/26 to 5/1/26 4:55 PM to 5:00 PM,,2026-05-01 17:32:00-05:00,5/1/26,Spring,26-00541,"5730 S Drexel Ave, Chicago, Il, 60637",[ 41.79123843 -87.60381506],bag,Bags,Comer Hospital,41.79123843,-87.60381506
7,TV taken from Simulation Center,Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),5/1/26 11:30 AM to 3:40 PM,,2026-05-01 15:43:00-05:00,5/1/26,Spring,26-00539,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504],TV,Tech,Mitchell Hospital,41.78922352,-87.60487504
8,Unknown subject snatched food from a delivery person and fled on foot / Referred to CPD,Referred,Information / Theft,5200 S. Lake Park Ave. (Parking Lot),4/30/26 21:45,,2026-04-30 21:52:00-05:00,4/30/26,Spring,2026-035349,"5200 S Lake Park Ave, Chicago, Il, 60615",[ 41.80096769 -87.58756061],food delivery,Packages & Food delivery,Parking Lot,41.80096769,-87.58756061
9,Victim's wallet taken and unauthorized use of credit cards reported,Open,Theft,5630 S. University Ave. to 5701 E. 57th St.,4/30/26 5:00 PM to 5:45 PM,,2026-04-30 18:32:00-05:00,4/30/26,Spring,26-00536,,[0. 0.],credit card/wallet,"Wallet, Credit cards, Cash",,0.0,0.0
10,Credit cards taken from wallet in unsecured locker,Open,Theft,5530 S. Ellis Ave. (Ratner A.C. ),4/28/26 2:20 PM to 3:10 PM,,2026-04-28 15:12:00-05:00,4/28/26,Spring,26-00524,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801],credit card/wallet,"Wallet, Credit cards, Cash",Ratner A.C. ,41.79444356,-87.60144801
11,Credit cards taken from wallet in unsecured locker,Open,Theft,5530 S. Ellis Ave. (Ratner A.C. ),4/28/26 1:30 PM to 2:15 PM,,2026-04-28 14:28:00-05:00,4/28/26,Spring,26-00523,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801],credit card/wallet,"Wallet, Credit cards, Cash",Ratner A.C. ,41.79444356,-87.60144801
12,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),4/28/26 11:00,,2026-04-28 11:01:00-05:00,4/28/26,Spring,2026-034672,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
13,Miscellaneous items taken from office,Open,Theft,5837 S. Maryland Ave. (BSD Pritzker School),4/24/26 to 4/28/26 3:00 PM to 10:00 AM,,2026-04-28 10:29:00-05:00,4/28/26,Spring,26-00519,"5837 S Maryland Ave, Chicago, Il, 60637",[ 41.78884314 -87.6048599 ],?,Unspecified - `Property`,BSD Pritzker School,41.78884314,-87.6048599
14,Unknown suspect took groceries delivered to desk in off-campus apartment building / Referred to CPD,Referred,Information / Theft,E. 55th Pl. between S. Blackstone Ave. and S. Harper Ave.,4/26/26 8:00 PM to 9:00 PM,,2026-04-26 22:02:00-05:00,4/26/26,Spring,2026-034278,"1455 E 55th Pl, Chicago, Il 60637",[ 41.7946633 -87.5895545],food delivery,Packages & Food delivery,,41.7946633,-87.5895545
15,Property taken from patient's possessions,Open,Theft,5656 S. Maryland Ave. (UCMED),4/26/26 5:45 AM to 5:54 AM,,2026-04-26 05:47:00-05:00,4/26/26,Spring,26-00512,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297],?,Unspecified - `Property`,UCMED,41.7921342,-87.60503297
16,A subject took merchandise from the off-campus store without paying / UCPD officer located and detained subject / Management declined prosecution,Ex. Cleared,Theft,1554 E. 55th St. (Walgreens),4/25/26 0:29,,2026-04-25 00:30:00-05:00,4/25/26,Spring,26-00504,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
17,Secured bicycle taken from bike rack,Open,Theft,5550 S. University Ave. (Crown Field House Bike Rack),4/24/26 4:00 PM to 4:25 PM,,2026-04-24 17:56:00-05:00,4/24/26,Spring,26-00499,"5550 S University Ave, Chicago, Il, 60637",[ 41.7941332  -87.59821807],bike (secured),Bikes & E-scooters,Crown Field House Bike Rack,41.7941332,-87.59821807
18,Wallet stolen in off-campus store and unauthorized use of credit cards later reported / Referred to CPD,Referred,Information / Theft,5118 S. Lake Park Ave. (Whole Foods),4/23/26 19:00,,2026-04-24 15:45:00-05:00,4/24/26,Spring,2026-033594,"5118 S Lake Park Ave, Chicago, Il, 60615",[ 41.8021608  -87.58785006],credit card/wallet,"Wallet, Credit cards, Cash",Whole Foods,41.8021608,-87.58785006
19,Suspects took tools from work van parked on the street and fled in a waiting vehicle,Closed,Theft,6100 S. Dorchester Ave. (Public Way),4/24/26 11:40,,2026-04-24 11:41:00-05:00,4/24/26,Spring,26-00497,"6100 S Dorchester Ave, Chicago, Il, 60637",[ 41.78414277 -87.59151069],tools,Tools,Public Way,41.78414277,-87.59151069
20,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),4/23/26 15:27,,2026-04-23 15:27:00-05:00,4/23/26,Spring,26-00491,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
21,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),4/23/26 13:15,,2026-04-23 13:18:00-05:00,4/23/26,Spring,2026-033302,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
22,Wallet taken from purse placed on the floor in public area,Open,Theft,5700 S. Maryland Ave. (CCD),4/23/26  10:50 AM to 12:00 PM,,2026-04-23 12:09:00-05:00,4/23/26,Spring,26-00489,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],credit card/wallet,"Wallet, Credit cards, Cash",CCD,41.7903992,-87.60501721
23,A subject took merchandise from the off-campus store without paying / Suspect located by UCPD officer and merchandise recovered / Management declined prosecution,Ex. Cleared,Theft,1554 E. 55th St. (Walgreens),4/23/26 2:21,,2026-04-23 02:22:00-05:00,4/23/26,Spring,26-00488,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
24,Window shattered and property taken from a work truck parked on the street off-campus / Referred to CPD,Referred,Information / Theft,5329 S. Woodlawn Ave. (Public Way),4/22/26 8:00 AM to 10:00 AM,,2026-04-22 10:15:00-05:00,4/22/26,Spring,2026-032954,"5329 S Woodlawn Ave, Chicago, Il, 60615",[ 41.79875136 -87.59654954],?,Unspecified - `Property`,Public Way,41.79875136,-87.59654954
25,Secured bicycle taken from bike rack,Open,Theft,5500 S. University Ave. (Campus North RH Bike Rack),4/21/26 to 4/22/26 11:30 PM to 9:10 AM,,2026-04-22 09:10:00-05:00,4/22/26,Spring,26-00484,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ],bike (secured),Bikes & E-scooters,Campus North RH Bike Rack,41.79501825,-87.5981983
26,"Unsecured, unattended laptop taken",Open,Theft,1100 E. 57th St. (Regenstein Library),4/21/26 3:52 PM to 4:08 PM,,2026-04-21 16:08:00-05:00,4/21/26,Spring,26-00481,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254],laptop,Tech,Regenstein Library,41.79148537,-87.59815254
27,UCPD officers arrested a suspect that took property from a vehicle parked on the street off-campus / Charged with felony burglary from motor vehicle,Arrest,Theft,5311 S. Ellis Ave. (Public Way),4/19/26 22:30,,2026-04-19 22:30:00-05:00,4/19/26,Spring,26-00477,"5311 S Ellis Ave, Chicago, Il, 60615",[ 41.79920918 -87.60122251],?,Unspecified - `Property`,Public Way,41.79920918,-87.60122251
28,Property taken from vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Theft,920 E. 55th St. (Public Way),4/18/26 6:30 PM to 8:30 PM,,2026-04-18 22:22:00-05:00,4/18/26,Spring,2026-031936,"920 E 55th St, Chicago, Il, 60615",[ 41.79505945 -87.60253228],?,Unspecified - `Property`,Public Way,41.79505945,-87.60253228
29,2016 GMC taken from the street off-campus / CPD case JK220812,CPD,Information / Motor Vehicle Theft,6138 S. Woodlawn Ave. (Public Way,4/16/26 to 4/17/26 9:30 PM to 8:00 AM,,2026-04-18 14:56:00-05:00,4/18/26,Spring,2026-031855,"6138 S Woodlawn Ave, Chicago, Il, 60637",[ 41.78344384 -87.59634671],car (gmc 2016),Car & Car parts,,41.78344384,-87.59634671
30,2013 Cadillac taken from the street off-campus / Referred to CPD,Referred,Information / Motor Vehicle Theft,6230 S. Dorchester Ave. (Public Way),4/14/26 to 4/18/26 2:30 PM to 10:00 AM,,2026-04-18 10:12:00-05:00,4/18/26,Spring,2026-031809,"6230 S Dorchester Ave, Chicago, Il, 60637",[ 41.78153138 -87.59145203],car (cadillac 2013),Car & Car parts,Public Way,41.78153138,-87.59145203
31,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),4/17/26 4:07,,2026-04-17 04:10:00-05:00,4/17/26,Spring,2026-031491,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
32,Purse taken from patient's room,Open,Theft,5700 S. Maryland Ave. (CCD),4/13/26 2:00 AM to 7:00 AM,,2026-04-16 12:03:00-05:00,4/16/26,Spring,26-00459,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],bag,Bags,CCD,41.7903992,-87.60501721
33,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),4/15/26 17:00,,2026-04-15 17:01:00-05:00,4/15/26,Spring,2026-031026,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
34,A subject took merchandise from the off-campus store without paying and was located and arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),4/15/26 14:30,,2026-04-15 14:31:00-05:00,4/15/26,Spring,26-00454,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
35,Delayed Report - Person reported a ring was taken during previous visit,Open,Theft,5656 S. Maryland Ave. (UCMED),3/21/26 to 3/22/26 7:45 PM to 3:35 AM,,2026-04-15 12:46:00-05:00,4/15/26,Spring,26-00451,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297],jewelry,Clothing & Jewelry,UCMED,41.7921342,-87.60503297
36,Victim's clothing taken from locker,Open,Theft,5530 S. Ellis Ave. (Ratner A.C.),4/14/26 5:40 PM to 5:45 PM,,2026-04-14 19:51:00-05:00,4/14/26,Spring,26-00449,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801],clothing,Clothing & Jewelry,Ratner A.C.,41.79444356,-87.60144801
37,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,Theft,1346 E. 53rd St. (Target),4/14/26 14:50,,2026-04-14 15:01:00-05:00,4/14/26,Spring,26-00446,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
38,"Credit cards taken from unsecured, unattended purse left in office",Open,Theft,5720 S. Ellis Ave. (Kersten Physics),4/13/26 2:00 PM to 3:45 PM,,2026-04-13 17:06:00-05:00,4/13/26,Spring,26-00438,"5720 S Ellis Ave, Chicago, Il, 60637",[ 41.79097835 -87.60136727],credit card/wallet,"Wallet, Credit cards, Cash",Kersten Physics,41.79097835,-87.60136727
39,Food delivered to building lobby taken by unknown person,Closed,Theft,1156 E. 61st St. (S. Woodlawn Ave. R.C.),4/11/26  6:58 to 7:10 PM,,2026-04-11 19:28:00-05:00,4/11/26,Spring,26-00429,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ],food delivery,Packages & Food delivery,S. Woodlawn Ave. R.C.,41.78420791,-87.5974474
40,"Property taken from unsecured, unattended purse left on chair in public area",Open,Theft,5700 S. Maryland Ave. (CCD),4/11/26 3:10 PM to 5:20 PM,,2026-04-11 18:09:00-05:00,4/11/26,Spring,26-00428,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],bag,Bags,CCD,41.7903992,-87.60501721
41,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officers / Suspect charged with felony theft and an active warrant from Cook County / Refer to 26-00419,Arrest,Theft,1228 E. 53rd St. (CVS),4/10/26 0:50,,2026-04-10 00:53:00-05:00,4/10/26,Spring,26-00420,"1228 E 53rd St, Chicago, Il, 60615",[ 41.79951603 -87.59614964],merchandise,Merchandise,CVS,41.79951603,-87.59614964
42,A subject took merchandise from the off-campus store without paying and was arrested by UCPD officers,Arrest,Theft,1554 E. 55th St. (Walgreens),4/8/26 10:47,,2026-04-08 10:47:00-05:00,4/8/26,Spring,26-00409,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
43,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),4/7/26 12:50,,2026-04-07 12:51:00-05:00,4/7/26,Spring,2026-028691,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
44,A secured bicycle was taken from basement storage room,Open,Theft,924 E. 61st St. (UC Apartments),1/2/26 to 4/6/26 1:00 PM to 8:00 AM,,2026-04-06 09:10:00-05:00,4/6/26,Spring,26-00398,"924 E 61st St, Chicago, Il, 60637",[ 41.78414246 -87.6035778 ],bike (secured),Bikes & E-scooters,UC Apartments,41.78414246,-87.6035778
45,A guest took credit card from victim's off-campus apartment and fled / Referred to CPD,Referred,Information / Theft,4700 S. Lake Park Ave. (Apartment),4/5/26 9:20,,2026-04-05 09:50:00-05:00,4/5/26,Spring,2026-028065,"4700 S Lake Park Ave, Chicago, Il, 60615",[ 41.80960939 -87.59243994],credit card/wallet,"Wallet, Credit cards, Cash",Apartment,41.80960939,-87.59243994
46,Cell phone taken from patient's room,Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),4/1/26 7:30 AM to 9:45 PM,,2026-04-01 21:59:00-05:00,4/1/26,Spring,26-00383,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504],phone,Tech,Mitchell Hospital,41.78922352,-87.60487504
47,Tools taken from tool box,Open,Theft,5615 S. Maryland Ave. (West Campus Utility Plant),3/20/26 to 3/23/26 10:00 AM to 6:00 AM,,2026-04-01 12:30:00-05:00,4/1/26,Spring,26-00378,"5615 S Maryland Ave, Chicago, Il, 60637",[ 41.79286654 -87.60489741],tools,Tools,West Campus Utility Plant,41.79286654,-87.60489741
48,Delivered Amazon package taken by unknown person,Open,Theft,6022 S. Drexel Ave. (Midway R.H.),3/24/26 12:00,,2026-03-31 14:02:00-05:00,3/31/26,Spring,26-00374,"6022 S Drexel Ave, Chicago, Il, 60637",[ 41.78476946 -87.60448143],package,Packages & Food delivery,Midway R.H.,41.78476946,-87.60448143
49,A subject took merchandise from the off-campus store without paying and was arrested by UCPD officer,Arrest,Theft,1228 E. 53rd St. (CVS),3/30/26 5:54,,2026-03-30 05:55:00-05:00,3/30/26,Spring,26-00368,"1228 E 53rd St, Chicago, Il, 60615",[ 41.79951603 -87.59614964],merchandise,Merchandise,CVS,41.79951603,-87.59614964
50,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/29/26 7:35,,2026-03-29 07:37:00-05:00,3/29/26,Spring,2026-026168,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
51,"An unattended, unsecured trumpet was stolen from a bicycle",Open,Theft,1100 E. 58th St. (Ryerson Bike Rack),3/28/26 6:00 PM to 10:00 PM,,2026-03-28 23:19:00-05:00,3/28/26,Spring,26-00358,"1100 W 58th St, Chicago, Il, 60621",[ 41.78877746 -87.6535956 ],musical instrument (trumpet),Miscellaneous,Ryerson Bike Rack,41.78877746,-87.6535956
52,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1526 E. 55th St. (Trader Joe's),3/28/26 18:15,,2026-03-28 18:25:00-05:00,3/28/26,Spring,2026-026008,"1526 E 55th St, Chicago, Il, 60615",[ 41.79546884 -87.5892945 ],merchandise,Merchandise,Trader Joe's,41.79546884,-87.5892945
53,"Unsecured, unattended purse taken",Open,Theft,915 E. 60th St. (Logan Center),3/27/26 2:30 PM to 3:00 PM,,2026-03-27 15:45:00-05:00,3/27/26,Spring,26-00345,"915 E 60th St, Chicago, Il, 60637",[ 41.78583956 -87.60381135],bag,Bags,Logan Center,41.78583956,-87.60381135
54,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/27/26 10:25,,2026-03-27 10:27:00-05:00,3/27/26,Spring,2026-025616,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
55,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,5422 S. Lake Park Ave. (Ace Hardware),3/27/26 9:45,,2026-03-27 09:46:00-05:00,3/27/26,Spring,2026-025604,"5422 S Lake Park Ave, Chicago, Il, 60615",[ 41.7974125  -87.58734463],merchandise,Merchandise,Ace Hardware,41.7974125,-87.58734463
56,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/27/26 7:27,,2026-03-27 07:29:00-05:00,3/27/26,Spring,2026-025575,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
57,A person took merchandise from the off-campus store without paying and was arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),3/26/26 13:56,,2026-03-26 13:56:00-05:00,3/26/26,Spring,26-00341,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
58,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/25/26 17:18,,2026-03-25 17:20:00-05:00,3/25/26,Spring,2026-025209,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
59,Cash and credit card taken from wallet left in unsecured locker,Open,Theft,5530 S. Ellis Ave. (Ratner A.C.),3/24/26 6:00 PM to 8:12 PM,,2026-03-25 12:15:00-05:00,3/25/26,Spring,26-00336,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801],credit card/wallet,"Wallet, Credit cards, Cash",Ratner A.C.,41.79444356,-87.60144801
60,A subject took merchandise from the off-campus store without paying and was arrested by a UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),3/24/26 7:38,,2026-03-24 07:38:00-05:00,3/24/26,Spring,26-00328,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
61,A subject took merchandise from the off-campus store without paying and was arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),3/20/26 12:30,,2026-03-20 12:30:00-05:00,3/20/26,Spring,26-00319,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
62,A subject took merchandise from the off-campus store without paying / Subject detained by UCPD officer / Management declined to prosecute,Closed,Information / Theft,1554 E. 55th St. (Walgreens),3/19/26 15:53,,2026-03-19 15:53:00-05:00,3/19/26,Spring,2026-023447,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
63,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/19/26 7:45,,2026-03-19 07:55:00-05:00,3/19/26,Spring,2026-023333,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
64,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/17/26 20:38,,2026-03-17 20:39:00-05:00,3/17/26,Spring,2026-022828,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
65,Unknown suspect took property from a victim and fled,Referred,Information / Theft,5454 S. Ingleside Ave.,3/17/26 18:20,,2026-03-17 18:25:00-05:00,3/17/26,Spring,2026-022790,"5454 S Ingleside Ave, Chicago, Il, 60615",[ 41.79632534 -87.60283286],?,Unspecified - `Property`,,41.79632534,-87.60283286
66,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/17/26 12:34,,2026-03-17 12:36:00-05:00,3/17/26,Spring,2026-022731,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
67,2020 Jeep taken from the street off-campus / CPD case JK182646,CPD,Information / Motor Vehicle Theft,4617 S. Lake Park Ave. (Public Way),3/16/26 5:15,,2026-03-16 05:17:00-05:00,3/16/26,Spring,2026-022341,"4617 S Lake Park Ave, Chicago, Il, 60653",[ 41.81119735 -87.59413175],car (jeep 2020),Car & Car parts,Public Way,41.81119735,-87.59413175
68,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/15/26 3:30,,2026-03-15 03:32:00-05:00,3/15/26,Spring,2026-022028,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
69,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/14/26 14:20,,2026-03-14 14:22:00-05:00,3/14/26,Spring,2026-021837,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
70,Unsecured wallet taken from patient's room,Open,Theft,5700 S. Maryland Ave. (CCD),3/11/26 3:00 AM to 11:00 AM,,2026-03-12 10:00:00-05:00,3/12/26,Spring,26-00297,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],credit card/wallet,"Wallet, Credit cards, Cash",CCD,41.7903992,-87.60501721
71,Patient's purse taken,Open,Theft,5656 S. Maryland Ave. (UCMED),3/8/26 to 3/9/26 7:35 AM to 11:00 AM,,2026-03-11 16:13:00-05:00,3/11/26,Spring,26-00293,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297],bag,Bags,UCMED,41.7921342,-87.60503297
72,A subject took merchandise from the off-campus store without paying and was arrested by a UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),3/11/26 11:35,,2026-03-11 11:39:00-05:00,3/11/26,Spring,26-00291,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
73,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),3/10/26 19:00,,2026-03-10 19:04:00-05:00,3/10/26,Spring,2026-020711,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
74,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/10/26 12:18,,2026-03-10 12:20:00-05:00,3/10/26,Spring,2026-020612,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
75,An unknown subject took merchandise from the off-campus store without paying / CPD case,CPD,Information / Theft,1554 E. 55th St. (Walgreens),3/10/26 10:10,,2026-03-10 10:16:00-05:00,3/10/26,Spring,2026-020574,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
76,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),3/9/26 8:40,,2026-03-09 08:46:00-05:00,3/9/26,Spring,2026-020175,"1554 E 55th St, Chicago, Il, 60615",[ 41.79546163 -87.58928368],merchandise,Merchandise,Walgreens,41.79546163,-87.58928368
77,DVD player taken from patient's bag,Open,Theft,5656 S. Maryland Ave. (UCMED),3/8/26 to 3/9/26 10:30 PM to 6:30 AM,,2026-03-09 07:41:00-05:00,3/9/26,Spring,26-00282,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297],DVD player,Tech,UCMED,41.7921342,-87.60503297
